model,term,estimate,std_error,statistic,p_value,type
mig_start_doy ~ year,(Intercept),-94.61764705883215,138.08784563090208,-0.6851989516277751,0.5000664660448499,original
mig_start_doy ~ year,year,0.17611190817790962,0.06867806033716839,2.564311037808945,0.017337901314319507,original
peak_start_doy ~ year,(Intercept),-44.5882352941152,99.80096516963613,-0.44677158400549133,0.6592185453596351,original
peak_start_doy ~ year,year,0.15494978479196442,0.0496360608445473,3.1217180041188985,0.004794168420469673,original
p50_doy ~ year,(Intercept),-24.819004524888577,104.59962878169854,-0.23727621994420575,0.8145432837353593,original
p50_doy ~ year,year,0.14744509436044673,0.05202267863542726,2.8342464907225504,0.009399025278688732,original
peak_end_doy ~ year,(Intercept),11.142533936646306,101.5114034414774,0.1097663273177985,0.913546821758358,original
peak_end_doy ~ year,year,0.13196667034543913,0.05048674818998177,2.6138873085833967,0.015519357736007666,original
mig_end_doy ~ year,(Intercept),96.77149321267396,163.10693422235371,0.5933009143605832,0.5587696088019045,original
mig_end_doy ~ year,year,0.09311886105286181,0.08112131678754025,1.147896320479407,0.26281122867501977,original
max_doy ~ year,(Intercept),-92.31674208145459,130.5191120287456,-0.7073043989229921,0.48648285708361627,original
max_doy ~ year,year,0.18099547511312547,0.06491374682622944,2.78824569466989,0.010448236591917107,original
mig_start_doy ~ year,(Intercept),-125.04851541410213,146.12742171275036,-0.855749824012607,0.4022724378952317,gaps_removed
mig_start_doy ~ year,year,0.19107827816450246,0.07266025128821067,2.6297497569418047,0.01605772286564847,gaps_removed
peak_start_doy ~ year,(Intercept),-60.978548089205894,97.67803965087366,-0.6242810390867676,0.5394996812680473,gaps_removed
peak_start_doy ~ year,year,0.16294928256854105,0.048569329583627426,3.3549831542964257,0.003151843149956885,gaps_removed
p50_doy ~ year,(Intercept),-44.91390822559816,100.11944804668138,-0.44860323445507555,0.658540459060514,gaps_removed
p50_doy ~ year,year,0.15726665719562335,0.04978329302359865,3.159024798160191,0.004936400660835481,gaps_removed
peak_end_doy ~ year,(Intercept),-4.525216650085728,96.01172458325709,-0.047131917166654595,0.9628755573630401,gaps_removed
peak_end_doy ~ year,year,0.1395794857224005,0.047740772765754086,2.9236955674610514,0.008397404553785409,gaps_removed
mig_end_doy ~ year,(Intercept),100.96576218212593,180.72085487974934,0.5586835135840188,0.582579557735635,gaps_removed
mig_end_doy ~ year,year,0.09092200596675777,0.08986145498683684,1.0118020677505866,0.32371778912891136,gaps_removed
