model,term,estimate,std_error,statistic,p_value,n,model_r_squared,model_adj_r_squared,model_f,model_p
mig_start_doy ~ year,(Intercept),-155.79285714285146,149.15112268703513,-1.0445302344103218,0.3075822114126213,24,0.2605751391465656,0.22696491819868225,7.752854096098271,0.010811644307422456
mig_start_doy ~ year,year,0.20649350649350373,0.07416100280421295,2.7843947450205353,0.010811644307423773,24,0.2605751391465656,0.22696491819868225,7.752854096098271,0.010811644307422456
peak_start_doy ~ year,(Intercept),-91.21714285714152,108.34732144482838,-0.8418956891665317,0.4089053133074838,24,0.3317828349021006,0.3014093273976507,10.923428413840307,0.0032231391087216496
peak_start_doy ~ year,year,0.17805194805194743,0.05387251443195023,3.305061030274651,0.0032231391087218456,24,0.3317828349021006,0.3014093273976507,10.923428413840307,0.0032231391087216496
p50_doy ~ year,(Intercept),-58.25857142856559,112.98029216572732,-0.5156525117062707,0.6112405730411956,24,0.2792919517287549,0.24653249498915286,8.525536731234194,0.007935096597843489
p50_doy ~ year,year,0.16402597402597116,0.05617612266790948,2.91985217626404,0.00793509659784458,24,0.2792919517287549,0.24653249498915286,8.525536731234194,0.007935096597843489
peak_end_doy ~ year,(Intercept),-37.534285714285446,116.3924419487354,-0.3224804384705433,0.7501333734398552,24,0.2485256730024952,0.21436774904806322,7.275783895240175,0.013156120785284326
peak_end_doy ~ year,year,0.156103896103896,0.05787271364937349,2.697366103301533,0.01315612078528474,24,0.2485256730024952,0.21436774904806322,7.275783895240175,0.013156120785284326
mig_end_doy ~ year,(Intercept),44.28000000000826,169.16914533912458,0.2617498593566956,0.7959493559452693,24,0.08350706452790298,0.04184829473371687,2.0045494607850127,0.17083022380755297
mig_end_doy ~ year,year,0.11909090909090503,0.08411437497661998,1.4158211259847908,0.17083022380757062,24,0.08350706452790298,0.04184829473371687,2.0045494607850127,0.17083022380755297
max_doy ~ year,(Intercept),-110.93571428570698,131.39209259438655,-0.844310430675388,0.4075838349279748,24,0.2782435931924306,0.2454364837920865,8.481198078045626,0.008075001314873816
max_doy ~ year,year,0.1902597402597367,0.06533084814782099,2.9122496592918106,0.008075001314874963,24,0.2782435931924306,0.2454364837920865,8.481198078045626,0.008075001314873816
