date,year,count,doy
1998-07-23,1998,4,204
1999-07-23,1999,NA,204
2000-07-23,2000,2,205
2001-07-23,2001,4,204
2002-07-23,2002,3,204
2003-07-23,2003,4,204
2004-07-23,2004,3,205
2005-07-23,2005,3,204
2006-07-23,2006,4,204
2007-07-23,2007,NA,204
2008-07-23,2008,4,205
2009-07-23,2009,6,204
2010-07-23,2010,3,204
2011-07-23,2011,NA,204
2012-07-23,2012,3,205
2013-07-23,2013,5,204
2014-07-23,2014,0,204
2015-07-23,2015,6,204
2016-07-23,2016,10,205
2017-07-23,2017,9,204
2018-07-23,2018,10,204
2019-07-23,2019,5,204
2020-07-23,2020,3,205
2021-07-23,2021,10,204
2022-07-23,2022,4,204
2023-07-23,2023,8,204
1998-07-24,1998,7,205
1999-07-24,1999,NA,205
2000-07-24,2000,0,206
2001-07-24,2001,3,205
2002-07-24,2002,4,205
2003-07-24,2003,5,205
2004-07-24,2004,3,206
2005-07-24,2005,4,205
2006-07-24,2006,2,205
2007-07-24,2007,NA,205
2008-07-24,2008,0,206
2009-07-24,2009,1,205
2010-07-24,2010,0,205
2011-07-24,2011,5,205
2012-07-24,2012,4,206
2013-07-24,2013,3,205
2014-07-24,2014,6,205
2015-07-24,2015,0,205
2016-07-24,2016,2,206
2017-07-24,2017,6,205
2018-07-24,2018,6,205
2019-07-24,2019,8,205
2020-07-24,2020,8,206
2021-07-24,2021,21,205
2022-07-24,2022,2,205
2023-07-24,2023,1,205
1998-07-25,1998,4,206
1999-07-25,1999,6,206
2000-07-25,2000,2,207
2001-07-25,2001,3,206
2002-07-25,2002,7,206
2003-07-25,2003,4,206
2004-07-25,2004,5,207
2005-07-25,2005,6,206
2006-07-25,2006,1,206
2007-07-25,2007,NA,206
2008-07-25,2008,1,207
2009-07-25,2009,2,206
2010-07-25,2010,0,206
2011-07-25,2011,4,206
2012-07-25,2012,NA,207
2013-07-25,2013,3,206
2014-07-25,2014,5,206
2015-07-25,2015,6,206
2016-07-25,2016,7,207
2017-07-25,2017,10,206
2018-07-25,2018,4,206
2019-07-25,2019,12,206
2020-07-25,2020,6,207
2021-07-25,2021,18,206
2022-07-25,2022,4,206
2023-07-25,2023,2,206
1998-07-26,1998,0,207
1999-07-26,1999,4,207
2000-07-26,2000,0,208
2001-07-26,2001,2,207
2002-07-26,2002,6,207
2003-07-26,2003,5,207
2004-07-26,2004,4,208
2005-07-26,2005,6,207
2006-07-26,2006,2,207
2007-07-26,2007,NA,207
2008-07-26,2008,1,208
2009-07-26,2009,1,207
2010-07-26,2010,2,207
2011-07-26,2011,6,207
2012-07-26,2012,3,208
2013-07-26,2013,6,207
2014-07-26,2014,4,207
2015-07-26,2015,13,207
2016-07-26,2016,7,208
2017-07-26,2017,4,207
2018-07-26,2018,3,207
2019-07-26,2019,4,207
2020-07-26,2020,3,208
2021-07-26,2021,8,207
