year,date_min,date_max,n_dates_obs,n_dates,n_obs,mig_start_doy,mig_end_doy,peak_start_doy,peak_end_doy,p50_doy,max_doy,mig_dur_days,peak_dur_days,peak_pop_min,peak_pop_median,peak_pop_mean,peak_pop_total,mig_pop_min,mig_pop_max,mig_pop_median,mig_pop_mean,mig_pop_total,res_pop_min,res_pop_max,res_pop_median,res_pop_mean,ambig_pop_min,ambig_pop_max,ambig_pop_median,ambig_pop_mean,mig_raw_min,mig_raw_max,mig_raw_median,mig_raw_mean,mig_raw_total,res_raw_min,res_raw_max,res_raw_median,res_raw_mean,ambig_raw_min,ambig_raw_max,ambig_raw_median,ambig_raw_mean,peak_raw_min,peak_raw_median,peak_raw_mean,peak_raw_total,mig_skew,mig_kurt,peak_skew,peak_kurt,p50_to_end,all_skew,all_kurt,n_missing
1998,1998-07-23,1998-10-18,54,87,1025,259,283,266,276,271,271,24,10,128.4,163.5,159.1,1749.7,36,179.2,113.1,110.6,2764.5,2.4,4.1,2.6,2.8,4.1,32,7.5,11.1,12,400,82.5,139.8,839,0,10,2,2.7,0,25,3,6.5,12,206,206,412,0.022495293714556094,-0.6713094879949089,0.022969282566387656,-1.1131160170960797,24,-0.04031553414822653,0.4104261728448755,7
1999,1999-07-25,1999-10-20,64,87,7397,261,282,267,275,271,271,21,8,450.7,561.9,539.4,4854.2,114.3,608,356.2,362.9,7984.7,3.7,8.4,4.6,5.5,4.8,99.8,15.2,27.1,65,1100,370,452.2,6783,0,34,5,5.8,3,89,10,21.6,120,635,661.6,5293,0.06688304926956216,-0.6284030427852243,-6.279026148295653e-4,-1.1236365517363867,24,0.01835987538157008,0.7795121163783847,4
2000,2000-07-23,2000-10-17,75,86,2599,254,281,263,273,268,269,27,10,105.9,134.3,132.4,1456.2,31.4,145.8,92.5,92,2576.6,1.1,4.6,2.5,2.5,1.6,28.7,8.6,11,2,350,63,106.1,2334,0,7,2,2.7,0,32,4,8.5,22,130,139.7,1257,-0.12941274987887316,-0.6986208218361698,-0.06614577579627279,-1.1371422946517462,28,-0.2567556511578585,0.3954532524985348,1
2001,2001-07-23,2001-10-07,62,76,3292,254,280,265,274,270,270,26,9,141.5,193.5,186.9,1869.2,35.3,207.3,117.2,119.2,3217.7,3.7,14,7.5,8.1,2.3,48,14.4,17.2,2,310,107.5,128,2817,0,29,8,8.2,2,50,15,22.9,57,180,193.6,1742,-0.4117553898874688,-0.37968301604584775,-0.07483113180524982,-1.1297710653942878,25,-0.42374179093068337,0.4014206817486068,4
2002,2002-07-23,2002-10-21,83,90,4454,257,285,264,275,268,266,28,11,123.5,202.4,193.7,2324.1,64.8,246.7,123.5,143.1,4149.5,3.1,5.7,4.4,4.3,5.9,56.6,15.6,21.3,45,475,122,164.9,3793,0,16,4,4.3,4,64,15.5,21.1,70,200,223.9,2687,0.3820434009615633,-0.7249736088930034,0.28802880713044965,-1.0337500294836055,27,0.15228674841698714,-0.018688694350061485,2
2003,2003-07-23,2003-10-18,83,87,6229,259,284,266,276,271,269,25,10,232,293.9,286.2,3147.7,82.9,315.5,221.8,212.6,5528.4,3.8,5.8,4.7,4.7,5.2,71.8,12.9,22.3,1,520,208,222.7,5567,0,20,4,4.9,2,105,8,22.1,1,280,265.9,2925,0.1312336370542152,-0.8131903235806788,0.0910576817132347,-1.149585087510869,24,0.07660810568433538,-0.05455029906633513,0
2004,2004-07-23,2004-10-18,80,87,9052,262,288,268,278,273,272,26,10,324.2,496.4,473.6,5209.2,92.4,549.3,291.5,313.1,8453.3,2.9,5.1,4.3,4,5.2,117.2,16.7,33.4,0,760,300,336.9,8086,0,12,4,3.9,2,300,9.5,35,200,600,523.6,5760,0.3783186956520297,-0.4418543261000085,0.12100753329911493,-1.0829301070941761,23,0.3719259226119159,0.21956496221671262,1
2005,2005-07-23,2005-10-18,83,87,5267,256,283,265,275,270,270,27,10,206.1,256.1,253.4,2787.4,58.5,286.1,164.2,170.2,4766.8,3.8,5.9,4.3,4.6,4.4,53.2,16.3,20.6,1,450,150,178.6,4643,0,23,4,4.7,1,95,16,21.7,150,330,299.5,2995,-0.02923590346315346,-0.632807831331561,0.009118567659853156,-1.1122917699642,25,-0.042300644403640786,0.19578705568092136,0
2006,2006-07-23,2006-10-11,68,80,5202,257,288,265,277,271,269,31,12,208.5,290.2,284.7,3701,71.8,323.2,193.7,199.2,6374.1,2.2,4.3,3.2,3.3,3.5,77.1,20.8,28.9,21,458,240,219.2,5041,0,11,2,3.3,0,10,5,4.7,100,350,323.9,3563,0.24712895415072875,-0.645092911946036,0.0987637451880628,-1.1030507546034665,24,0.2375891621376286,-0.24870543570696224,7
2008,2008-07-23,2008-10-17,59,86,3761,256,281,265,275,270,271,25,10,174.4,232.5,227,2497.4,43.2,255,156.7,156.5,4068.7,0.9,3.4,1.5,1.8,0.8,59,8.9,14.4,1,650,73.5,161.9,3238,0,11,1,1.8,0,244,6.5,24.4,25,250,281.3,2532,-0.22902014217569233,-0.6202010884266387,-0.06318232529003205,-1.1175526554005586,26,-0.34474943946307535,0.36177342225718956,2
2009,2009-07-23,2009-10-18,61,87,4657,261,277,266,273,269,269,16,7,308.9,377.6,370.2,2961.5,85.2,414.7,263.9,266.1,4523.3,2.6,4.4,3.4,3.4,2.9,76.6,5.2,13.7,2,600,303,305.1,4272,0,7,3,3.5,1,150,5,13.5,150,306,359.4,2516,-0.056923261599847556,-0.7245350417889389,0.013439347679619853,-1.1345819831360775,26,-0.19541300069682718,2.4580909952786865,4
2010,2010-07-23,2010-10-18,75,87,7956,262,282,268,276,272,273,20,8,437.6,562.8,542.7,4884.5,138.9,608.8,391.9,386.4,8114.9,1.5,7.6,6.3,5.7,2.9,106.1,12.1,26.4,69,1334,290,443.3,7093,0,18,5,5.8,0,185,14,26.6,101,255,540.4,4864,-0.06464306418542709,-0.7398209356686651,-0.08273353803116047,-1.1387079713352755,23,-0.17202148019701513,0.5400121676918026,3
2011,2011-07-24,2011-10-20,68,88,2962,263,286,271,280,276,278,23,9,249.5,347.7,332.7,3327.2,93.8,375.9,242.8,245.5,5892.2,3.1,5.3,3.7,3.8,4.8,81.6,8.4,19.7,10,634,203,231.7,2317,1,8,4,3.8,0,90,9,19,255,337.5,337.5,675,-0.25228148921811033,-0.7678423462970771,-0.1378555673987765,-1.131839804396504,19,-0.234951830092718,-0.34672718108727985,1
2012,2012-07-23,2012-10-18,77,87,5319,259,284,267,276,272,272,25,9,238.5,297.7,291.5,2914.8,63.6,326.5,186.7,192.7,5010,3,5.5,4.2,4.2,4.2,53.9,15.1,19.7,13,466,142.5,200.1,4803,0,12,4,4.4,1,64,8,17.9,127,380,356.8,3211,-0.027896009660776575,-0.611941599701892,-0.02297121038090408,-1.1227623782424276,24,0.05011561987411968,0.38736439239102216,2
2013,2013-07-23,2013-10-18,69,87,4006,262,287,269,280,274,275,25,11,238.5,288.8,283.1,3397.3,87.7,314.2,215.5,211.9,5509,3.4,8.5,5.5,6,3.3,80,14.3,25,1,588,170,190.5,3239,0,16,5,6.1,0,138,10,29.8,113,256,311.6,1558,8.979828078835432e-4,-0.7952243857813541,-0.013549180466011577,-1.1262703511507128,21,0.0029945123073066423,-0.26920319866784315,5
